alpha,beta,K,chain_variant,transition_strength,reward_mean_scale,reward_gap,reward_std,n,mean_abs_error,std_abs_error,median_abs_error,mean_abs_error_ci_low,mean_abs_error_ci_high,estimator,mean_ess_is,median_ess_is,mean_ess_norm
0.1,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.15976263646974118,0.11796548243095445,0.1327844955526204,0.1461385686995483,0.17338670423993405,dm_tabular,87.61922515055166,87.70223609457808,0.8761922515055166
0.1,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.05472425309635798,0.042959418946161294,0.04614431290127497,0.04976278451224757,0.05968572168046839,dm_tabular,437.4470477959459,437.77563334204035,0.8748940955918917
0.1,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.3484670383809004,0.2842062281166597,0.2562238804720798,0.31564349684332743,0.3812905799184733,dm_tabular,87.61697652546167,87.66616939006991,0.8761697652546167
0.1,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.10094292660560278,0.07437137607311942,0.08555088170649143,0.09235362872877909,0.10953222448242647,dm_tabular,437.46565466378627,437.80634732854037,0.8749313093275726
0.1,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.4310622177303724,0.22088262714033394,0.4311364882294585,0.40555204458985633,0.45657239087088847,dm_tabular,87.66725700123548,87.83808753006483,0.8766725700123549
0.1,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.13975721985920475,0.0738692218916494,0.14438186604156414,0.1312259167657571,0.1482885229526524,dm_tabular,437.62013914628477,438.07881614806473,0.8752402782925695
0.1,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.6045715543286398,0.4190565419545146,0.5384105126384698,0.5561738823191804,0.6529692263380993,dm_tabular,87.87993111475265,88.17958743648214,0.8787993111475264
0.1,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.19244178744719873,0.13793249982096856,0.17076892838320668,0.1765116891968661,0.20837188569753134,dm_tabular,438.33435223572235,438.16115519207835,0.8766687044714446
0.3,0.0,100,transitional,0.5,1.0,0.5,0.5,288,0.1670697971028944,0.12979560552814853,0.12994807744745063,0.15207944492912415,0.18206014927666467,dm_tabular,34.569819238536574,34.91240939932968,0.3456981923853657
0.3,0.0,500,transitional,0.5,1.0,0.5,0.5,288,0.05838144007141626,0.04783147268294834,0.04714600528938538,0.05285728832845166,0.06390559181438087,dm_tabular,156.08959189524282,158.07596624442436,0.31217918379048565
0.3,0.25,100,transitional,0.5,1.0,0.5,0.5,288,0.3643139178244719,0.30088608146264045,0.27932385295082135,0.32956398690841676,0.3990638487405271,dm_tabular,34.78018365235953,35.26574112996515,0.3478018365235953
0.3,0.25,500,transitional,0.5,1.0,0.5,0.5,288,0.10998342422120641,0.08986204683311501,0.085602279566732,0.09960507802371442,0.1203617704186984,dm_tabular,157.53820577752228,160.2707964116181,0.31507641155504457
0.3,0.5,100,transitional,0.5,1.0,0.5,0.5,288,0.4494904032134924,0.25345215544593713,0.45815083432032144,0.42021871058664295,0.4787620958403418,dm_tabular,35.004963459217954,35.971698389447575,0.3500496345921795
0.3,0.5,500,transitional,0.5,1.0,0.5,0.5,288,0.1519943090019149,0.08486501311331439,0.15309135515759653,0.1421930801496459,0.1617955378541839,dm_tabular,155.41081463497872,157.12280085940475,0.3108216292699575
0.3,1.0,100,transitional,0.5,1.0,0.5,0.5,288,0.627839681776377,0.442688068210174,0.5327683303968058,0.576712757882506,0.6789666056702479,dm_tabular,35.52428991166454,36.61406722549118,0.35524289911664536
0.3,1.0,500,transitional,0.5,1.0,0.5,0.5,288,0.19412818124970338,0.14266105388244749,0.16178258783153182,0.17765197290291676,0.21060438959649,dm_tabular,157.54170765801828,159.54573982567035,0.31508341531603656
